35,118,668413148,Crittenden,I,Worstell,594,auge Street,5310354,Washington,DC,20456
35,72,668413148,Crittenden,I,Worstell,594,Hauge Street,5310354,Washington,DC,20456
39,65,000000000,Kedrick,H,Catlaina,462,Tarrza,5410656,Reliance,WY,82943
39,62,000000000,Kedrick,H,Catlaina,462,arra,5410656,Reliance,WY,82943
39,39,000000000,Kedrick,H,Catlaina,462,Tarra,5410656,Reliance,WY,82943
42,81,518563247,Charette,B,Saumitra,379,Vistlikc Road,5011456,Corvallis,OR,97330
42,138,518563247,Charette,B,Saumitra,379,Vistliky Road,5011456,Covrallis,OR,97330
42,42,518563247,Charette,B,Saumitra,379,Viestlik Road,5011456,dorvallis,OR,94330
42,58,518563247,Charette,B,Saumitra,379,Vistlik Road,5011456,Corvallis,OR,97330
46,55,765637140,Sumie,A,Saleme,515,Valettina Ave,4912152,Yuma,AZ,85366
46,102,765637140,aumie,A,Saleme,515,Valentkina Ave,4912152,Yuam,AZ,85366
46,85,765637141,Sumie,A,Saleme,515,Valentimna Ave,4912152,Yuma,AZ,85366
46,46,765637140,Sumie,A,Saleme,515,Valentina Ave,4912152,Yuma,AZ,85366
50,83,000000000,Wallack,A,Hoover,657,Leswaym St,5010556,Culpepecr,VA,22701
50,50,000000000,Wallack,A,Hoover,657,Leasway St,5010556,Culpeper,VA,22701
50,63,000000000,Wallack,A,Hoover,657,Lesway St,5010556,Culpeper,VA,22701
53,111,358177306,Goree,S,Bringhurst,187,Raddy St,5611350,Ogden,UT,84412
53,71,358178306,Goree,S,Bringhurst,187,Radd St,5611350,Ogden,UT,84412
53,122,358177306,Goree,S,Brihghurst,187,Racdy St,5611350,Ogden,UT,84412
53,53,358177306,Goree,S,Bringhurst,187,Raddy St,5611350,Ogden,UT,84412
57,57,382877278,Kilcullen,L,Vito,570,oLayko St,5510848,Newark,MD,21841
57,80,382877278,Kilcullen,L,Vito,570,Layko St,5510848,Newark,MD,21841
59,59,530336804,Silvanus,F,Lusardi,95,Hwe Pkwy,5410155,French Creek,WV,26218
60,67,000000000,yliane,P,Jomjo,694,Elowuon,5010956,Mobridge,SD,57601
60,76,000000000,Lyliane,P,Jojo,694,Elowon,5010956,Mobridge,SD,57601
60,115,726082325,Lyliane,P,Jojo,694,Elowosn,5010956,Mobridge,SD,57601
60,60,000000000,Lyliane,P,Jojo,694,Elowson,5010956,Mobridge,SD,57601
64,64,342162218,Regnier,I,Cardoso,296,iSadat Parkway,4912148,Bristolville,OH,44402
64,98,342162518,Regnier,I,Cardoso,296,Siadat Parkway,4912148,Bristolville,OH,44402
66,77,372401572,Tesas,M,Elisee,384,Byouangin Avenue,5611549,Worcester,MA,01600
66,66,372401572,Tessy,M,Elisee,384,Byoungin Avenue,5611549,Worcester,MA,01600
68,68,358248215,Dali,O,Cricket,367,Harmonia Rd,549856,Wahiawa,HI,96857
69,80,000000000,Tachi,T,Stoltenberg,245,Siernggo Rd,5510650,Hyattsville,MD,20780
69,69,000000000,Tachi,T,Stoltenberg,245,Sienggo Rd,5510650,Hyattsville,MD,20780
71,71,576114465,Balis,Z,Atarashi,880,Trzminel Ave,5510355,Kansas xCity,NC,64146
71,170,576114465,Balis,Z,Atarasih,880,Trzmel Ave,5510355,Kansas City,MO,64146
71,123,676114465,Balis,Z,Atarashi,880,Tzmiel Ave,5510355,Kansas Cuity,MO,64146
71,124,576114465,Balis,Z,Atarashi,880,Trzmiel Ave,5510355,Kansas City,MO,64146
75,75,261574614,Denninger,H,Bashton,545,Hostelet St,5110349,Fort Worth,TX,76113
76,110,250155324,Awrey,V,Mayobre,394,ushpa Lane,5211256,Gales Ferry,CT,06339
76,119,250155324,Awrey,V,Mayobre,394,Puashpa Ln,5211256,Gales Ferry,CT,06339
76,76,250155324,Awrey,V,Mayobre,394,Pushpa Lane,5211256,Gales Ferry,CT,06339
79,177,000000000,Poulson,H,Bellerena,860,Kioyaki Street,5210551,East Durham,NY,12423
79,79,000000000,Poulson,H,Bellerena,860,Kiyoaki Street,5210551,East Durham,NY,12423
81,81,707476815,Juarez,M,Tengku,465,Dills Rd,5610750,New Orleans,LA,70170
